,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-04-26,16.596979538483403,-38.39256985403687,40.92245134822387,16.596979538483403,16.596979538483403,-14.351060707778654,-14.351060707778654,-14.351060707778654,-0.7396400812822116,-0.7396400812822116,-0.7396400812822116,-13.611420626496443,-13.611420626496443,-13.611420626496443,0.0,0.0,0.0,2.245918830704749
1,2019-04-29,16.600065737449714,-38.801985835455056,45.29384636092308,16.600065737449714,16.600065737449714,-13.367869106433405,-13.367869106433405,-13.367869106433405,1.1645793334503456,1.1645793334503456,1.1645793334503456,-14.53244843988375,-14.53244843988375,-14.53244843988375,0.0,0.0,0.0,3.2321966310163095
2,2019-04-30,16.601094470438486,-40.861244256884795,42.286673789626775,16.601094470438486,16.601094470438486,-14.692489294479747,-14.692489294479747,-14.692489294479747,0.24732477213956414,0.24732477213956414,0.24732477213956414,-14.939814066619313,-14.939814066619313,-14.939814066619313,0.0,0.0,0.0,1.9086051759587388
3,2019-05-01,16.602123203427254,-38.83389309626533,41.86729215410113,16.602123203427254,16.602123203427254,-14.800831893293504,-14.800831893293504,-14.800831893293504,0.6081325536269416,0.6081325536269416,0.6081325536269416,-15.408964446920447,-15.408964446920447,-15.408964446920447,0.0,0.0,0.0,1.8012913101337507
4,2019-05-02,16.60315193641603,-39.73072990064761,41.11873713137881,16.60315193641603,16.60315193641603,-16.169372807456412,-16.169372807456412,-16.169372807456412,-0.22541790534638784,-0.22541790534638784,-0.22541790534638784,-15.943954902110024,-15.943954902110024,-15.943954902110024,0.0,0.0,0.0,0.43377912895961757
5,2019-05-03,16.604180669404798,-39.650350680282166,38.94083364916196,16.604180669404798,16.604180669404798,-17.286233810905262,-17.286233810905262,-17.286233810905262,-0.7396400812789042,-0.7396400812789042,-0.7396400812789042,-16.54659372962636,-16.54659372962636,-16.54659372962636,0.0,0.0,0.0,-0.6820531415004645
6,2019-05-06,16.607266868371113,-38.96127213265784,39.07773110211179,16.607266868371113,16.607266868371113,-17.578040746569833,-17.578040746569833,-17.578040746569833,1.1645793334505776,1.1645793334505776,1.1645793334505776,-18.742620080020412,-18.742620080020412,-18.742620080020412,0.0,0.0,0.0,-0.9707738781987203
7,2019-05-07,16.608295601359885,-41.401514575179306,39.04227573806999,16.608295601359885,16.608295601359885,-19.338772626253654,-19.338772626253654,-19.338772626253654,0.2473247721382295,0.2473247721382295,0.2473247721382295,-19.586097398391885,-19.586097398391885,-19.586097398391885,0.0,0.0,0.0,-2.7304770248937693
8,2019-05-08,16.609324334348653,-41.81635300665862,41.47800755978538,16.609324334348653,16.609324334348653,-19.86257518694093,-19.86257518694093,-19.86257518694093,0.608132553626052,0.608132553626052,0.608132553626052,-20.470707740566983,-20.470707740566983,-20.470707740566983,0.0,0.0,0.0,-3.253250852592277
9,2019-05-09,16.610353067337424,-46.790155822766565,34.61040357370939,16.610353067337424,16.610353067337424,-21.61011658286226,-21.61011658286226,-21.61011658286226,-0.22541790534838946,-0.22541790534838946,-0.22541790534838946,-21.38469867751387,-21.38469867751387,-21.38469867751387,0.0,0.0,0.0,-4.999763515524837
10,2019-05-10,16.611381800326196,-46.91374743477028,34.481697281001544,16.611381800326196,16.611381800326196,-23.05434630359035,-23.05434630359035,-23.05434630359035,-0.7396400812800598,-0.7396400812800598,-0.7396400812800598,-22.31470622231029,-22.31470622231029,-22.31470622231029,0.0,0.0,0.0,-6.442964503264154
11,2019-05-13,16.614467999292508,-45.15647188060733,33.841984676922436,16.614467999292508,16.614467999292508,-23.88591023694958,-23.88591023694958,-23.88591023694958,1.1645793334510188,1.1645793334510188,1.1645793334510188,-25.0504895704006,-25.0504895704006,-25.0504895704006,0.0,0.0,0.0,-7.271442237657073
12,2019-05-14,16.61549673228128,-46.66482430943175,31.544057427970117,16.61549673228128,16.61549673228128,-25.644131693182757,-25.644131693182757,-25.644131693182757,0.24732477213754367,0.24732477213754367,0.24732477213754367,-25.8914564653203,-25.8914564653203,-25.8914564653203,0.0,0.0,0.0,-9.028634960901478
13,2019-05-15,16.61652546527005,-45.4042451639974,31.72422192497964,16.61652546527005,16.61652546527005,-26.06246653193099,-26.06246653193099,-26.06246653193099,0.6081325536267167,0.6081325536267167,0.6081325536267167,-26.670599085557708,-26.670599085557708,-26.670599085557708,0.0,0.0,0.0,-9.44594106666094
14,2019-05-16,16.61755419825882,-48.91122110424085,34.13310092778014,16.61755419825882,16.61755419825882,-27.59847970561263,-27.59847970561263,-27.59847970561263,-0.2254179053479685,-0.2254179053479685,-0.2254179053479685,-27.37306180026466,-27.37306180026466,-27.37306180026466,0.0,0.0,0.0,-10.98092550735381
15,2019-05-17,16.61858293124759,-51.509557436837675,28.453058473897634,16.61858293124759,16.61858293124759,-28.724830883389664,-28.724830883389664,-28.724830883389664,-0.739640081277783,-0.739640081277783,-0.739640081277783,-27.985190802111884,-27.985190802111884,-27.985190802111884,0.0,0.0,0.0,-12.106247952142073
16,2019-05-20,16.621669130213903,-53.06304520379494,25.84096085930707,16.621669130213903,16.621669130213903,-28.003862353019123,-28.003862353019123,-28.003862353019123,1.1645793334503893,1.1645793334503893,1.1645793334503893,-29.168441686469517,-29.168441686469517,-29.168441686469517,0.0,0.0,0.0,-11.38219322280522
